Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite3,Chrome 87.0.4280.141,,,2021-01-21 15:05:58,2021-01-21 15:06:19,20.991s,PASSED
,,,,,,,
Test Cases/Test1,Chrome 87.0.4280.141,This will basically open the page and verify items present,,2021-01-21 15:05:59,2021-01-21 15:06:19,19.776s,PASSED
"openBrowser(""http://cms.demo.katalon.com"")",Chrome 87.0.4280.141,,,2021-01-21 15:06:00,2021-01-21 15:06:08,8.548s,PASSED
delay(2),Chrome 87.0.4280.141,,,2021-01-21 15:06:08,2021-01-21 15:06:10,2.038s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_2""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:10,2021-01-21 15:06:10,0.377s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a__next page-numbers""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:10,2021-01-21 15:06:11,0.392s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_Cart""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:11,2021-01-21 15:06:11,0.346s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_Checkout""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:11,2021-01-21 15:06:12,0.315s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_My account""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:12,2021-01-21 15:06:12,0.342s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_Proudly powered by WordPress""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:12,2021-01-21 15:06:12,0.303s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_Sample Page""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:12,2021-01-21 15:06:12,0.284s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_Shop""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:12,2021-01-21 15:06:13,0.273s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_Themes Zone""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:13,2021-01-21 15:06:13,0.285s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/b_ELLIE""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:13,2021-01-21 15:06:13,0.279s,PASSED
