Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/div_Katalon Shop                                    Katalon Ecommerce""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:13,2021-01-21 15:06:14,0.284s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/div_Proudly powered by WordPress  Theme ELLIE by Themes Zone""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:14,2021-01-21 15:06:14,0.279s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/h1_Shop""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:14,2021-01-21 15:06:14,0.282s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/h1_Shop""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:14,2021-01-21 15:06:14,0.279s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/h2_Archives""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:14,2021-01-21 15:06:15,0.277s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/h2_Meta""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:15,2021-01-21 15:06:15,0.286s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/h2_Recent Comments""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:15,2021-01-21 15:06:15,0.274s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/h2_Recent Posts""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:15,2021-01-21 15:06:16,0.283s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/i_Search_ellie-icon-search""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:16,2021-01-21 15:06:16,0.279s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/img_Themes Zone_bitnami-corner-image""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:16,2021-01-21 15:06:16,0.299s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/input_Search for_s""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:16,2021-01-21 15:06:16,0.295s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/li_Comments RSS""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:16,2021-01-21 15:06:17,0.286s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/li_Entries RSS""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:17,2021-01-21 15:06:17,0.273s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/li_Log in""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:17,2021-01-21 15:06:17,0.276s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/li_WordPress.org""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:17,2021-01-21 15:06:18,0.277s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/p_Showing 112 of 24 results""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:18,2021-01-21 15:06:18,0.282s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/ul_CartCheckoutMy accountSample PageShop""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:06:18,2021-01-21 15:06:18,0.274s,PASSED
closeBrowser(),Chrome 87.0.4280.141,,,2021-01-21 15:06:18,2021-01-21 15:06:19,0.682s,PASSED
