Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 14:57:54,2021-01-21 14:58:01,6.922s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/a_Cart""))",Chrome 87.0.4280.141,,,2021-01-21 14:58:01,2021-01-21 14:58:03,1.994s,PASSED
"navigateToUrl(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 14:58:03,2021-01-21 14:58:04,0.959s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/a_Checkout""))",Chrome 87.0.4280.141,,,2021-01-21 14:58:04,2021-01-21 14:58:05,1.762s,PASSED
"navigateToUrl(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 14:58:05,2021-01-21 14:58:07,1.169s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/a_My account""))",Chrome 87.0.4280.141,,,2021-01-21 14:58:07,2021-01-21 14:58:09,1.865s,PASSED
"navigateToUrl(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 14:58:09,2021-01-21 14:58:10,1.152s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/a_Sample Page""))",Chrome 87.0.4280.141,,,2021-01-21 14:58:10,2021-01-21 14:58:11,1.272s,PASSED
"navigateToUrl(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 14:58:11,2021-01-21 14:58:12,1.260s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/a_Shop""))",Chrome 87.0.4280.141,,,2021-01-21 14:58:12,2021-01-21 14:58:14,1.905s,PASSED
"navigateToUrl(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 14:58:14,2021-01-21 14:58:15,0.996s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/a_Proudly powered by WordPress""))",Chrome 87.0.4280.141,,,2021-01-21 14:58:15,2021-01-21 14:58:18,2.779s,PASSED
"navigateToUrl(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 14:58:18,2021-01-21 14:58:19,1.198s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/a__next page-numbers""))",Chrome 87.0.4280.141,,,2021-01-21 14:58:19,2021-01-21 14:58:21,2.239s,PASSED
"navigateToUrl(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 14:58:21,2021-01-21 14:58:22,0.951s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/a_2""))",Chrome 87.0.4280.141,,,2021-01-21 14:58:22,2021-01-21 14:58:24,1.435s,PASSED
"navigateToUrl(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 14:58:24,2021-01-21 14:58:25,1.311s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/a_2""))",Chrome 87.0.4280.141,,,2021-01-21 14:58:25,2021-01-21 14:58:26,1.468s,PASSED
"navigateToUrl(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 14:58:26,2021-01-21 14:58:28,1.249s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/img_Sale_attachment-woocommerce_thumbnail size-woocommerce_thumbnail""))",Chrome 87.0.4280.141,,,2021-01-21 14:58:28,2021-01-21 14:58:30,2.592s,PASSED
"navigateToUrl(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 14:58:30,2021-01-21 14:58:31,0.912s,PASSED
closeBrowser(),Chrome 87.0.4280.141,,,2021-01-21 14:58:31,2021-01-21 14:58:32,0.705s,PASSED
