Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 87.0.4280.141,,,2021-01-21 15:03:16,2021-01-21 15:05:02,1m - 45.958s,PASSED
,,,,,,,
Test Cases/Test1,Chrome 87.0.4280.141,This will basically open the page and verify items present,,2021-01-21 15:03:17,2021-01-21 15:04:18,1m - 1.063s,PASSED
"openBrowser(""http://cms.demo.katalon.com"")",Chrome 87.0.4280.141,,,2021-01-21 15:03:18,2021-01-21 15:03:26,8.434s,PASSED
delay(2),Chrome 87.0.4280.141,,,2021-01-21 15:03:26,2021-01-21 15:03:28,2.044s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_2""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:03:28,2021-01-21 15:03:30,1.473s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a__next page-numbers""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:03:30,2021-01-21 15:03:32,1.946s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_Cart""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:03:32,2021-01-21 15:03:34,2.029s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_Checkout""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:03:34,2021-01-21 15:03:36,1.928s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_My account""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:03:36,2021-01-21 15:03:38,2.047s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_Proudly powered by WordPress""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:03:38,2021-01-21 15:03:40,2.018s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_Sample Page""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:03:40,2021-01-21 15:03:42,2.017s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_Shop""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:03:42,2021-01-21 15:03:44,1.911s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_Themes Zone""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:03:44,2021-01-21 15:03:46,2.023s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/b_ELLIE""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:03:46,2021-01-21 15:03:48,2.048s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/div_Katalon Shop                                    Katalon Ecommerce""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:03:48,2021-01-21 15:03:50,2.017s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/div_Proudly powered by WordPress  Theme ELLIE by Themes Zone""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:03:50,2021-01-21 15:03:52,1.927s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/h1_Shop""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:03:52,2021-01-21 15:03:54,2.013s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/h1_Shop""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:03:54,2021-01-21 15:03:56,2.012s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/h2_Archives""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:03:56,2021-01-21 15:03:58,2.013s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/h2_Meta""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:03:58,2021-01-21 15:04:00,2.011s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/h2_Recent Comments""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:04:00,2021-01-21 15:04:02,2.014s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/h2_Recent Posts""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:04:02,2021-01-21 15:04:04,1.911s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/i_Search_ellie-icon-search""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:04:04,2021-01-21 15:04:06,2.054s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/img_Themes Zone_bitnami-corner-image""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:04:06,2021-01-21 15:04:09,2.952s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/input_Search for_s""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:04:09,2021-01-21 15:04:11,2.032s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/li_Comments RSS""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:04:11,2021-01-21 15:04:13,2.043s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/li_Entries RSS""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:04:13,2021-01-21 15:04:15,1.918s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/li_Log in""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:04:15,2021-01-21 15:04:17,2.130s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/li_WordPress.org""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:04:17,2021-01-21 15:04:17,0.320s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/p_Showing 112 of 24 results""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:04:17,2021-01-21 15:04:17,0.308s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/ul_CartCheckoutMy accountSample PageShop""), 2)",Chrome 87.0.4280.141,,,2021-01-21 15:04:17,2021-01-21 15:04:18,0.278s,PASSED
closeBrowser(),Chrome 87.0.4280.141,,,2021-01-21 15:04:18,2021-01-21 15:04:18,0.680s,PASSED
,,,,,,,
Test Cases/Test2,Chrome 87.0.4280.141,,,2021-01-21 15:04:18,2021-01-21 15:05:02,43.484s,PASSED
"openBrowser(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 15:04:19,2021-01-21 15:04:26,7.708s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/a_Cart""))",Chrome 87.0.4280.141,,,2021-01-21 15:04:26,2021-01-21 15:04:29,2.605s,PASSED
"navigateToUrl(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 15:04:29,2021-01-21 15:04:30,1.232s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/a_Checkout""))",Chrome 87.0.4280.141,,,2021-01-21 15:04:30,2021-01-21 15:04:32,2.051s,PASSED
"navigateToUrl(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 15:04:32,2021-01-21 15:04:33,1.200s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/a_My account""))",Chrome 87.0.4280.141,,,2021-01-21 15:04:33,2021-01-21 15:04:36,2.063s,PASSED
"navigateToUrl(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 15:04:36,2021-01-21 15:04:37,1.459s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/a_Sample Page""))",Chrome 87.0.4280.141,,,2021-01-21 15:04:37,2021-01-21 15:04:39,1.549s,PASSED
"navigateToUrl(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 15:04:39,2021-01-21 15:04:40,1.461s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/a_Shop""))",Chrome 87.0.4280.141,,,2021-01-21 15:04:40,2021-01-21 15:04:42,1.589s,PASSED
"navigateToUrl(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 15:04:42,2021-01-21 15:04:43,1.285s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/a_Proudly powered by WordPress""))",Chrome 87.0.4280.141,,,2021-01-21 15:04:43,2021-01-21 15:04:45,2.493s,PASSED
"navigateToUrl(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 15:04:45,2021-01-21 15:04:47,2.057s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/a__next page-numbers""))",Chrome 87.0.4280.141,,,2021-01-21 15:04:47,2021-01-21 15:04:50,2.378s,PASSED
"navigateToUrl(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 15:04:50,2021-01-21 15:04:51,1.249s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/a_2""))",Chrome 87.0.4280.141,,,2021-01-21 15:04:51,2021-01-21 15:04:53,1.555s,PASSED
"navigateToUrl(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 15:04:53,2021-01-21 15:04:54,1.196s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/a_2""))",Chrome 87.0.4280.141,,,2021-01-21 15:04:54,2021-01-21 15:04:55,1.519s,PASSED
"navigateToUrl(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 15:04:55,2021-01-21 15:04:57,1.493s,PASSED
"click(findTestObject(""Object Repository/Items on FrontPage/img_Sale_attachment-woocommerce_thumbnail size-woocommerce_thumbnail""))",Chrome 87.0.4280.141,,,2021-01-21 15:04:57,2021-01-21 15:05:00,3.116s,PASSED
"navigateToUrl(""http://cms.demo.katalon.com/"")",Chrome 87.0.4280.141,,,2021-01-21 15:05:00,2021-01-21 15:05:01,1.188s,PASSED
closeBrowser(),Chrome 87.0.4280.141,,,2021-01-21 15:05:01,2021-01-21 15:05:02,0.688s,PASSED
